Data,Praça,C/V,Tipo Mercado,Especificação do Título,OBS(*),Quantidade,Preço Liquidação (R$),Compra/Venda (R$),D/C,Ignorar
05/05/2020,1-Bovespa,C,VIS,BRFS3 ON NM,,200,"18,95","3.790,00",D,
05/05/2020,1-Bovespa,C,VIS,CSAN3 ON NM,,100,"60,6","6.060,00",D,
30/04/2020,1-Bovespa,C,VIS,BRFS3 ON NM,,200,"19,43","3.886,00",D,
30/04/2020,1-Bovespa,C,VIS,SAPR11 UNT N2,,200,"25,62","5.124,00",D,
30/04/2020,1-Bovespa,C,VIS,UGPA3 ON NM,,300,"14,49","4.347,00",D,
24/04/2020,1-Bovespa,C,VIS,PCAR3 ON NM,,100,"64,22","6.422,00",D,
24/04/2020,1-Bovespa,V,VIS,RAIL3 ON NM,,200,"20,28","4.056,00",C,
24/04/2020,1-Bovespa,V,VIS,SMTO3 ON NM,,200,"18,13","3.626,00",C,
24/04/2020,1-Bovespa,V,VIS,TUPY3 ON NM,,200,"14,04","2.808,00",C,
24/04/2020,1-Bovespa,V,VIS,VVAR3 ON NM,,100,"6,94","694,00",C,
24/04/2020,1-Bovespa,V,VIS,BBAS3 ON NM,,100,"24,62","2.462,00",C,
24/04/2020,1-Bovespa,V,VIS,BPAN4 PN N1,,500,"5,41","2.705,00",C,
24/04/2020,1-Bovespa,C,VIS,CESP6 PNB N1,,100,"25,24","2.524,00",D,
24/04/2020,1-Bovespa,V,VIS,EGIE3 ON NM,,200,"39,58","7.916,00",C,
24/04/2020,1-Bovespa,C,VIS,ENBR3 ON NM,D,200,"15,83","3.166,00",D,
24/04/2020,1-Bovespa,V,VIS,ENBR3 ON NM,D,200,"16,81","3.362,00",C,
24/04/2020,1-Bovespa,V,VIS,ENGI11 UNT N2,,100,"43,11","4.311,00",C,
24/04/2020,1-Bovespa,C,VIS,IVVB11 CI,,20,169,"3.380,00",D,
24/04/2020,1-Bovespa,V,VIS,MATB11 CI,,200,"26,98","5.396,00",C,
23/04/2020,1-Bovespa,C,VIS,BBAS3 ON NM,,100,"28,15","2.815,00",D,
23/04/2020,1-Bovespa,C,VIS,BPAN4 PN N1,,500,"5,39","2.695,00",D,
23/04/2020,1-Bovespa,C,VIS,CPLE6 PNB N1,,100,"58,16","5.816,00",D,
22/04/2020,1-Bovespa,V,VIS,CSNA3 ON,,200,"7,42","1.484,00",C,
22/04/2020,1-Bovespa,V,VIS,MOVI3 ON NM,,300,"11,49","3.447,00",C,
20/04/2020,1-Bovespa,C,VIS,IVVB11 CI,,30,161,"4.830,00",D,
20/04/2020,1-Bovespa,C,VIS,MOVI3 ON NM,,300,"10,65","3.195,00",D,
17/04/2020,1-Bovespa,C,VIS,LOGN3 ON NM,,200,"14,09","2.818,00",D,
14/04/2020,1-Bovespa,C,VIS,BBDC4 PN EJB N1,,100,"21,83","2.183,00",D,
14/04/2020,1-Bovespa,C,VIS,CRPG5 PNA,,100,"20,6","2.060,00",D,
14/04/2020,1-Bovespa,C,VIS,MRFG3 ON NM,,400,"9,56","3.824,00",D,
14/04/2020,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"14,45","2.890,00",D,
14/04/2020,1-Bovespa,C,VIS,SMTO3 ON NM,,200,"16,75","3.350,00",D,
14/04/2020,1-Bovespa,C,VIS,TUPY3 ON NM,,200,"13,32","2.664,00",D,
14/04/2020,1-Bovespa,C,VIS,VVAR3 ON NM,,400,"5,9","2.360,00",D,
07/04/2020,1-Bovespa,C,OPV,"BOVAP70 CI 70,00",,400,"1,22","488,00",D,
06/04/2020,1-Bovespa,C,VIS,AGRO3 ON NM,,200,"17,44","3.488,00",D,
06/04/2020,1-Bovespa,C,VIS,EGIE3 ON NM,,200,"38,7","7.740,00",D,
06/04/2020,1-Bovespa,C,VIS,ENGI11 UNT N2,,200,"37,3","7.460,00",D,
06/04/2020,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,17,"5.100,00",D,
03/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,500,"8,72","4.360,00",D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,400,"9,14","3.656,00",D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"9,15","915,00",D,
31/03/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,1000,"10,48","10.480,00",C,
27/03/2020,1-Bovespa,C,VIS,JBSS3 ON NM,,200,"21,2","4.240,00",D,
27/03/2020,1-Bovespa,C,VIS,MGLU3 ON NM,,100,"39,75","3.975,00",D,
27/03/2020,1-Bovespa,C,VIS,RAIL3 ON NM,,200,20,"4.000,00",D,
26/03/2020,1-Bovespa,V,VIS,AZUL4 PN N2,,100,"23,26","2.326,00",C,
26/03/2020,1-Bovespa,V,VIS,VVAR3 ON NM,,1.000,"5,68","5.680,00",C,
18/03/2020,1-Bovespa,C,VIS,AALR3 ON NM,,300,"9,99","2.997,00",D,
18/03/2020,1-Bovespa,C,VIS,ITSA4 PN N1,,300,"9,18","2.754,00",D,
18/03/2020,1-Bovespa,C,VIS,KLBN11 UNT N2,,200,"13,01","2.602,00",D,
18/03/2020,1-Bovespa,C,VIS,MATB11 CI,,200,"21,55","4.310,00",D,
18/03/2020,1-Bovespa,C,VIS,VVAR3 ON NM,,1.000,"4,82","4.820,00",D,
16/03/2020,1-Bovespa,V,VIS,SHOW3 ON NM,,400,"2,1",840,C,
12/03/2020,1-Bovespa,C,VIS,AZUL4 PN N2,,100,"21,5","2.150,00",D,
12/03/2020,1-Bovespa,C,VIS,BBDC4 PN EJ N1,,100,"22,1","2.210,00",D,
12/03/2020,1-Bovespa,C,VIS,CSNA3 ON,,200,"6,37","1.274,00",D,
12/03/2020,1-Bovespa,C,VIS,CYRE3 ON NM,,200,"18,3","3.660,00",D,
12/03/2020,1-Bovespa,C,VIS,ENBR3 ON NM,,100,"17,01","1.701,00",D,
12/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,200,"9,16","1.832,00",D,
12/03/2020,1-Bovespa,C,VIS,PFRM3 ON NM,,100,"4,3",430,D,
12/03/2020,1-Bovespa,C,VIS,PFRM3 ON NM,,200,"4,31",862,D,
12/03/2020,1-Bovespa,C,VIS,SHOW3 ON NM,,400,"2,32",928,D,
10/03/2020,1-Bovespa,V,VIS,GNDI3 ON NM,,100,"51,55","5.155,00",C,
10/03/2020,1-Bovespa,C,VIS,GNDI3 ON NM,,100,52,"5.200,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"16,9","1.690,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"18,5","1.850,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,19,"1.900,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"19,12","1.912,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,21,"2.100,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"21,2","2.120,00",D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,200,"21,3","4.260,00",D,
27/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,300,"11,88",3564,C,
27/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,100,"11,92",1192,C,
27/02/2020,1-Bovespa,V,VIS,MATB11 CI,,100,"32,1",3210,C,
26/02/2020,1-Bovespa,V,VIS,ABCB4 PN N2,,100,"20,24",2024,C,
26/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,300,"12,36",3708,C,
26/02/2020,1-Bovespa,V,VIS,ODPV3 ON NM,,100,"15,82",1582,C,
21/02/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,400,"33,9",13560,C,
21/02/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"13,51",2702,C,
20/02/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,200,"34,73",6946,C,
20/02/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"13,28",2656,C,
19/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"37,8","3.780,00",D,
19/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"38,14",3814,D,
18/02/2020,1-Bovespa,V,VIS,BBSE3 ON EDR NM,,100,"33,33","3.333,00",C,
18/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,36,"3.600,00",D,
18/02/2020,1-Bovespa,C,VIS,ITSA4 PN N1,,200,"13,13","2.626,00",D,
17/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"34,73","3.473,00",D,
17/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"35,07","3.507,00",D,
13/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"33,22","3.322,00",D,
13/02/2020,1-Bovespa,C,VIS,MRFG3 ON NM,,200,"11,24","2.248,00",D,
11/02/2020,1-Bovespa,C,VIS,MATB11 CI,,100,"36,38","3.638,00",D,
10/02/2020,1-Bovespa,C,VIS,BBSE3 ON NM,,100,"35,86","3.586,00",D,
10/02/2020,1-Bovespa,V,VIS,ENBR3 ON NM,,100,"21,05","2.105,00",C,
10/02/2020,1-Bovespa,C,VIS,ITSA4 PN N1,#,500,"12,99","6.495,00",D,
10/02/2020,1-Bovespa,V,VIS,LAME4 PN N1,,100,"25,91","2.591,00",C,
10/02/2020,1-Bovespa,V,VIS,PSSA3 ON NM,,100,"66,14","6.614,00",C,
27/01/2020,1-Bovespa,V,VIS,ABCB4 PN N2,,100,"22,34","2.234,00",C,
27/01/2020,1-Bovespa,V,VIS,BMGB4 PN N1,,200,"9,99","1.998,00",C,x
27/01/2020,1-Bovespa,V,VIS,MATB11 CI,,200,39,"7.800,00",C,
27/01/2020,1-Bovespa,V,VIS,MDIA3 ON NM,,100,"38,51","3.851,00",C,
27/01/2020,1-Bovespa,V,VIS,MDIA3 ON NM,,100,"38,53","3.853,00",C,
27/01/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"11,45","2.290,00",C,
27/01/2020,1-Bovespa,V,VIS,ODPV3 ON NM,,100,"17,78","1.778,00",C,
24/01/2020,1-Bovespa,V,VIS,ITUB4 PN N1,,100,"34,18","3.418,00",C,
24/01/2020,1-Bovespa,V,VIS,MATB11 CI,,50,"39,92","1.996,00",C,
24/01/2020,1-Bovespa,C,VIS,MDIA3 ON NM,,100,39,"3.900,00",D,
22/01/2020,1-Bovespa,V,VIS,FIND11 CI,,30,"123,71","3.711,30",C,
08/01/2020,1-Bovespa,V,VIS,BMGB4 PN N1,,200,"9,2","1.840,00",C,x
07/01/2020,1-Bovespa,V,VIS,TAEE11 UNT N2,,100,"30,6","3.060,00",C,
06/01/2020,1-Bovespa,C,VIS,LAME4 PN N1,,100,"26,54","2.654,00",D,
06/01/2020,1-Bovespa,V,VIS,TUPY3 ON NM,,100,"25,55","2.555,00",C,
03/01/2020,1-Bovespa,C,VIS,ENBR3 ON EJ NM,,200,"21,68","4.336,00",D,
03/01/2020,1-Bovespa,C,VIS,MDIA3 ON EJ NM,,100,"38,6","3.860,00",D,
03/01/2020,1-Bovespa,V,VIS,ODPV3 ON EJ NM,,200,"16,8","3.360,00",C,
03/01/2020,1-Bovespa,V,VIS,SLCE3 ON NM,,200,"25,7","5.140,00",C,
18/12/2019,1-Bovespa,C,VIS,MRFG3 ON NM,,400,"10,3","4.120,00",D,
13/12/2019,1-Bovespa,C,VIS,MATB11 CI,,50,35,"1.750,00",D,
12/12/2019,1-Bovespa,V,VIS,TIET11 UNT EJ N2,,100,"13,79","1.379,00",C,
04/12/2019,1-Bovespa,C,OPV,"BOVAX105 CI 105,00",,100,"0,79","79,00",D,
04/12/2019,1-Bovespa,C,OPV,"BOVAX105 CI 105,00",,100,"0,79","79,00",D,
02/12/2019,1-Bovespa,C,VIS,TIET11 UNT N2,,300,"12,85","3.855,00",D,
28/11/2019,1-Bovespa,C,VIS,FIND11 CI,,30,"120,88","3.626,40",D,
28/11/2019,1-Bovespa,V,VIS,LEVE3 ON EJ NM,,100,"24,75","2.475,00",C,
27/11/2019,1-Bovespa,C,VIS,BMGB11 UNT N1,,100,"33,57","3.357,00",D,x
27/11/2019,1-Bovespa,V,VIS,LEVE3 ON EJ NM,,100,"24,64","2.464,00",C,
27/11/2019,1-Bovespa,C,VIS,MATB11 CI,,100,"33,02","3.302,00",D,
26/11/2019,1-Bovespa,C,VIS,MATB11 CI,,100,"32,59","3.259,00",D,
26/11/2019,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"16,2","3.240,00",D,
26/11/2019,1-Bovespa,C,VIS,TUPY3 ON NM,,100,"19,9","1.990,00",D,
19/11/2019,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"15,81","3.162,00",D,
29/10/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,18,"3.600,00",D,
28/10/2019,1-Bovespa,C,VIS,TAEE11 UNT N2,,100,"27,92","2.792,00",D,
08/10/2019,1-Bovespa,V,VIS,KLBN11 UNT N2,,600,"14,51","8.706,00",C,
04/10/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"14,75","4.425,00",D,
04/10/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"14,87","4.461,00",D,
02/10/2019,1-Bovespa,V,VIS,KLBN11 UNT N2,,1100,"15,1","16.610,00",C,
24/09/2019,1-Bovespa,C,VIS,LEVE3 ON NM,,200,"24,3","4.860,00",D,
20/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,400,"15,1","6.040,00",D,
13/09/2019,1-Bovespa,C,VIS,PSSA3 ON NM,,100,"58,2","5.820,00",D,
13/09/2019,1-Bovespa,V,VIS,SLCE3 ON NM,,500,"18,54","9.270,00",C,
11/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"15,35","4.605,00",D,
04/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,200,"15,05","3.010,00",D,
22/08/2019,1-Bovespa,C,OPV,"BOVAU920 CI 92,00",,100,"0,7","70,00",D,
16/08/2019,1-Bovespa,C,OPV,"BOVAU920 CI 92,00",,100,"1,17","117,00",D,
14/08/2019,1-Bovespa,C,VIS,KLBN11 UNT ED N2,,200,"15,15","3.030,00",D,
14/08/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,"18,18","3.636,00",D,
05/08/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,100,18,"1.800,00",D,
26/07/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,"17,91","3.582,00",D,
10/07/2019,1-Bovespa,C,VIS,ABCB4 PN EJ N2,,200,"19,29","3.858,00",D,
10/07/2019,1-Bovespa,C,VIS,ITUB4 PN ED N1,,100,"37,65","3.765,00",D,
10/07/2019,1-Bovespa,C,VIS,TAEE11 UNT N2,,100,"28,69","2.869,00",D,