Data,Praça,C/V,Tipo Mercado,Especificação do Título,OBS(*),Quantidade,Preço Liquidação (R$),Compra/Venda (R$),D/C,Ignorar
03/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,500,"8,72",4360,D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,400,"9,14",3656,D,
01/04/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"9,15",915,D,
31/03/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,1000,"10,48",10480,C,
27/03/2020,1-Bovespa,C,VIS,JBSS3 ON NM,,200,"21,2",4240,D,
27/03/2020,1-Bovespa,C,VIS,MGLU3 ON NM,,100,"39,75",3975,D,
27/03/2020,1-Bovespa,C,VIS,RAIL3 ON NM,,200,20,4000,D,
26/03/2020,1-Bovespa,V,VIS,AZUL4 PN N2,,100,"23,26",2326,C,
26/03/2020,1-Bovespa,V,VIS,VVAR3 ON NM,,1000,"5,68",5680,C,
18/03/2020,1-Bovespa,C,VIS,AALR3 ON NM,,300,"9,99",2997,D,
18/03/2020,1-Bovespa,C,VIS,ITSA4 PN N1,,300,"9,18",2754,D,
18/03/2020,1-Bovespa,C,VIS,KLBN11 UNT N2,,200,"13,01",2602,D,
18/03/2020,1-Bovespa,C,VIS,MATB11 CI,,200,"21,55",4310,D,
18/03/2020,1-Bovespa,C,VIS,VVAR3 ON NM,,1000,"4,82",4820,D,
16/03/2020,1-Bovespa,V,VIS,SHOW3 ON NM,,400,"2,1",840,C,
12/03/2020,1-Bovespa,C,VIS,AZUL4 PN N2,,100,"21,5",2150,D,
12/03/2020,1-Bovespa,C,VIS,BBDC4 PN EJ N1,,100,"22,1",2210,D,
12/03/2020,1-Bovespa,C,VIS,CSNA3 ON,,200,"6,37",1274,D,
12/03/2020,1-Bovespa,C,VIS,CYRE3 ON NM,,200,"18,3",3660,D,
12/03/2020,1-Bovespa,C,VIS,ENBR3 ON NM,,100,"17,01",1701,D,
12/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,200,"9,16",1832,D,
12/03/2020,1-Bovespa,C,VIS,PFRM3 ON NM,,100,"4,3",430,D,
12/03/2020,1-Bovespa,C,VIS,PFRM3 ON NM,,200,"4,31",862,D,
12/03/2020,1-Bovespa,C,VIS,SHOW3 ON NM,,400,"2,32",928,D,
10/03/2020,1-Bovespa,V,VIS,GNDI3 ON NM,,100,"51,55",5155,C,
10/03/2020,1-Bovespa,C,VIS,GNDI3 ON NM,,100,52,5200,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"16,9",1690,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"18,5",1850,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,19,1900,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"19,12",1912,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,21,2100,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"21,2",2120,D,
04/03/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,200,"21,3",4260,D,
27/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,300,"11,88",3564,C,
27/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,100,"11,92",1192,C,
27/02/2020,1-Bovespa,V,VIS,MATB11 CI,,100,"32,1",3210,C,
26/02/2020,1-Bovespa,V,VIS,ABCB4 PN N2,,100,"20,24",2024,C,
26/02/2020,1-Bovespa,V,VIS,ITSA4 PN EDJ N1,,300,"12,36",3708,C,
26/02/2020,1-Bovespa,V,VIS,ODPV3 ON NM,,100,"15,82",1582,C,
21/02/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,400,"33,9",13560,C,
21/02/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"13,51",2702,C,
20/02/2020,1-Bovespa,V,VIS,IRBR3 ON NM,,200,"34,73",6946,C,
20/02/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"13,28",2656,C,
19/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"37,8",3780,D,
19/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"38,14",3814,D,
18/02/2020,1-Bovespa,V,VIS,BBSE3 ON EDR NM,,100,"33,33",3333,C,
18/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,36,3600,D,
18/02/2020,1-Bovespa,C,VIS,ITSA4 PN N1,,200,"13,13",2626,D,
17/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"34,73",3473,D,
17/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"35,07",3507,D,
13/02/2020,1-Bovespa,C,VIS,IRBR3 ON NM,,100,"33,22",3322,D,
13/02/2020,1-Bovespa,C,VIS,MRFG3 ON NM,,200,"11,24",2248,D,
11/02/2020,1-Bovespa,C,VIS,MATB11 CI,,100,"36,38",3638,D,
10/02/2020,1-Bovespa,C,VIS,BBSE3 ON NM,,100,"35,86",3586,D,
10/02/2020,1-Bovespa,V,VIS,ENBR3 ON NM,,100,"21,05",2105,C,
10/02/2020,1-Bovespa,C,VIS,ITSA4 PN N1,#,500,"12,99",6495,D,
10/02/2020,1-Bovespa,V,VIS,LAME4 PN N1,,100,"25,91",2591,C,
10/02/2020,1-Bovespa,V,VIS,PSSA3 ON NM,,100,"66,14",6614,C,
27/01/2020,1-Bovespa,V,VIS,ABCB4 PN N2,,100,"22,34",2234,C,
27/01/2020,1-Bovespa,V,VIS,BMGB4 PN N1,,200,"9,99",1998,C,
27/01/2020,1-Bovespa,V,VIS,MATB11 CI,,200,39,7800,C,
27/01/2020,1-Bovespa,V,VIS,MDIA3 ON NM,,100,"38,51",3851,C,
27/01/2020,1-Bovespa,V,VIS,MDIA3 ON NM,,100,"38,53",3853,C,
27/01/2020,1-Bovespa,V,VIS,MRFG3 ON NM,,200,"11,45",2290,C,
27/01/2020,1-Bovespa,V,VIS,ODPV3 ON NM,,100,"17,78",1778,C,
24/01/2020,1-Bovespa,V,VIS,ITUB4 PN N1,,100,"34,18",3418,C,
24/01/2020,1-Bovespa,V,VIS,MATB11 CI,,50,"39,92",1996,C,
24/01/2020,1-Bovespa,C,VIS,MDIA3 ON NM,,100,39,3900,D,
22/01/2020,1-Bovespa,V,VIS,FIND11 CI,,30,"123,71","3711,3",C,
08/01/2020,1-Bovespa,V,VIS,BMGB4 PN N1,,200,"9,2",1840,C,
07/01/2020,1-Bovespa,V,VIS,TAEE11 UNT N2,,100,"30,6",3060,C,
06/01/2020,1-Bovespa,C,VIS,LAME4 PN N1,,100,"26,54",2654,D,
06/01/2020,1-Bovespa,V,VIS,TUPY3 ON NM,,100,"25,55",2555,C,
03/01/2020,1-Bovespa,C,VIS,ENBR3 ON EJ NM,,200,"21,68",4336,D,
03/01/2020,1-Bovespa,C,VIS,MDIA3 ON EJ NM,,100,"38,6",3860,D,
03/01/2020,1-Bovespa,V,VIS,ODPV3 ON EJ NM,,200,"16,8",3360,C,
03/01/2020,1-Bovespa,V,VIS,SLCE3 ON NM,,200,"25,7",5140,C,
18/12/2019,1-Bovespa,C,VIS,MRFG3 ON NM,,400,"10,3",4120,D,
13/12/2019,1-Bovespa,C,VIS,MATB11 CI,,50,35,1750,D,
12/12/2019,1-Bovespa,V,VIS,TIET11 UNT EJ N2,,100,"13,79",1379,C,
04/12/2019,1-Bovespa,C,OPV,"BOVAX105 CI 105,00",,100,"0,79",79,D,
04/12/2019,1-Bovespa,C,OPV,"BOVAX105 CI 105,00",,100,"0,79",79,D,
02/12/2019,1-Bovespa,C,VIS,TIET11 UNT N2,,300,"12,85",3855,D,
28/11/2019,1-Bovespa,C,VIS,FIND11 CI,,30,"120,88","3626,4",D,
28/11/2019,1-Bovespa,V,VIS,LEVE3 ON EJ NM,,100,"24,75",2475,C,
27/11/2019,1-Bovespa,C,VIS,BMGB11 UNT N1,,100,"33,57",3357,D,
27/11/2019,1-Bovespa,V,VIS,LEVE3 ON EJ NM,,100,"24,64",2464,C,
27/11/2019,1-Bovespa,C,VIS,MATB11 CI,,100,"33,02",3302,D,
26/11/2019,1-Bovespa,C,VIS,MATB11 CI,,100,"32,59",3259,D,
26/11/2019,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"16,2",3240,D,
26/11/2019,1-Bovespa,C,VIS,TUPY3 ON NM,,100,"19,9",1990,D,
19/11/2019,1-Bovespa,C,VIS,ODPV3 ON NM,,200,"15,81",3162,D,
29/10/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,18,3600,D,
28/10/2019,1-Bovespa,C,VIS,TAEE11 UNT N2,,100,"27,92",2792,D,
08/10/2019,1-Bovespa,V,VIS,KLBN11 UNT N2,,600,"14,51",8706,C,
04/10/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"14,75",4425,D,
04/10/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"14,87",4461,D,
02/10/2019,1-Bovespa,V,VIS,KLBN11 UNT N2,,1100,"15,1",16610,C,
24/09/2019,1-Bovespa,C,VIS,LEVE3 ON NM,,200,"24,3",4860,D,
20/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,400,"15,1",6040,D,
13/09/2019,1-Bovespa,C,VIS,PSSA3 ON NM,,100,"58,2",5820,D,
13/09/2019,1-Bovespa,V,VIS,SLCE3 ON NM,,500,"18,54",9270,C,
11/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,300,"15,35",4605,D,
04/09/2019,1-Bovespa,C,VIS,KLBN11 UNT N2,,200,"15,05",3010,D,
22/08/2019,1-Bovespa,C,OPV,"BOVAU920 CI 92,00",,100,"0,7",70,D,
16/08/2019,1-Bovespa,C,OPV,"BOVAU920 CI 92,00",,100,"1,17",117,D,
14/08/2019,1-Bovespa,C,VIS,KLBN11 UNT ED N2,,200,"15,15",3030,D,
14/08/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,"18,18",3636,D,
05/08/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,100,18,1800,D,
26/07/2019,1-Bovespa,C,VIS,SLCE3 ON NM,,200,"17,91",3582,D,
10/07/2019,1-Bovespa,C,VIS,ABCB4 PN EJ N2,,200,"19,29",3858,D,
10/07/2019,1-Bovespa,C,VIS,ITUB4 PN ED N1,,100,"37,65",3765,D,
10/07/2019,1-Bovespa,C,VIS,TAEE11 UNT N2,,100,"28,69",2869,D,
