Azul ,AZUL4,R$,"21,15",R$,"34,00",R$,"30,50",COMPRA,2,3,5,"60,8",
Cosan Energia ,CSAN3,R$,"75,62",R$,"70,00",-,-,NEUTRO,2,3,5,"-7,4",
São Martinho ,SMTO3,R$,"20,96",R$,"21,00",-,-,NEUTRO,2,3,5,"0,2", >> 
Brasil Agro ,AGRO3,R$,"22,21",R$,"24,00",R$,"22,50",COMPRA,3,3,6,"8,1", >> 
SLC Agrícola ,SLCE3,R$,"23,91",R$,"26,00",-,-,NEUTRO,3,3,6,"8,7",
Ambev ,ABEV3,R$,"14,14",R$,"14,00",-,-,VENDA,2,4,6,"-1,0",
Minerva Foods ,BEEF3,R$,"13,20",R$,"15,00",-,-,NEUTRO,3,3,6,"13,6",
BRF ,BRFS3,R$,"20,19",R$,"30,00",R$,"27,00",COMPRA,4,4,8,"48,6",
Camil Alimentos ,CAML3,R$,"11,19",R$,"12,00",-,-,NEUTRO,3,3,6,"7,2",
JBS ,JBSS3,R$,"21,95",R$,"30,00",R$,"27,00",COMPRA,4,4,8,"36,7",
M. Dias Branco ,MDIA3,R$,"40,33",R$,"40,00",-,-,NEUTRO,3,3,6,"-0,8",
Marfrig ,MRFG3,R$,"12,35",R$,"18,00",R$,"16,00",COMPRA,3,3,6,"45,7",
Banco ABC Brasil ,ABCB4,R$,"14,15",R$,"19,00",-,-,NEUTRO,2,4,6,"34,3",
Banco do Brasil ,BBAS3,R$,"33,50",R$,"49,00",R$,"44,00",COMPRA,2,3,5,"46,3",
Bradesco ,BBDC4,R$,"21,35",R$,"33,00",R$,"30,00",COMPRA,3,4,7,"54,6",
Banco Inter ,BIDI11,R$,"44,96",R$,"46,00",-,-,COMPRA,2,4,6,"2,3",
Banco BMG ,BMGB4,R$,"5,51",R$,"9,00",-,-,NEUTRO,2,3,5,"63,3",
Banco BTG Pactual ,BPAC11,R$,"79,51",R$,"104,00",R$,"95,00",COMPRA,2,3,5,"30,8", ## 
Banco Pan ,BPAN4,R$,"9,42",R$,"10,00",-,-,COMPRA,2,3,5,"6,2",
Banrisul ,BRSR6,R$,"14,26",R$,"23,00",-,-,NEUTRO,2,3,5,"61,3",
Itaú Unibanco ,ITUB4,R$,"26,50",R$,"29,00",-,-,COMPRA,3,5,8,"9,4",
Itausa ,ITSA4,R$,"9,97",R$,"11,00",-,-,COMPRA,3,5,8,"10,3",
Banco Santander Brasil ,SANB11,R$,"28,44",R$,"39,00",-,-,NEUTRO,2,4,6,"37,1",
Grupo CCR ,CCRO3,R$,"14,80",R$,"19,00",-,-,NEUTRO,2,3,5,"28,4",
Ecorodovias ,ECOR3,R$,"13,87",R$,"17,00",-,-,NEUTRO,2,3,5,"22,6",
Cyrela ,CYRE3,R$,"25,32",R$,"26,00",-,-,COMPRA,3,4,7,"2,7",
Direcional ,DIRR3,R$,"16,36",R$,"12,00",-,-,NEUTRO,3,3,6,"-26,7",
Even ,EVEN3,R$,"12,27",R$,"13,00",-,-,COMPRA,2,2,4,"5,9",
EZTec ,EZTC3,R$,"42,92",R$,"45,00",-,-,NEUTRO,4,4,8,"4,8",
Moura Dubeux ,MDNE3,R$,"9,18",R$,"10,00",-,-,NEUTRO,2,2,4,"8,9",
MRV Engenharia ,MRVE3,R$,"19,27",R$,"18,00",-,-,NEUTRO,3,4,7,"-6,6",
Mitre ,MTRE3,R$,"15,34",R$,"17,00",R$,"16,00",COMPRA,3,4,7,"10,8",
Tenda ,TEND3,R$,"32,97",R$,"28,00",-,-,NEUTRO,4,4,8,"-15,1",
Trisul ,TRIS3,R$,"13,16",R$,"12,00",-,-,COMPRA,2,3,5,"-8,8",
Anima Educação ,ANIM3,R$,"25,69",R$,"33,00",R$,"30,00",COMPRA,2,4,6,"28,5",
Cogna ,COGN3,R$,"7,20",R$,"6,00",-,-,VENDA,1,2,3,"-16,7",
Ser Educacional ,SEER3,R$,"15,60",R$,"22,00",-,-,NEUTRO,2,3,5,"41,0",
YDUQS ,YDUQ3,R$,"34,48",R$,"45,00",R$,"40,00",COMPRA,2,4,6,"30,5",
Cemig ,CMIG4,R$,"11,13",R$,"11,00",-,-,COMPRA,2,2,4,"-1,2",
Copel ,CPLE6,R$,"61,15",R$,"67,00",-,-,COMPRA,3,3,6,"9,6",
Engie ,EGIE3,R$,"45,05",R$,"45,00",-,-,NEUTRO,5,4,9,"-0,1",
Energias do Brasil ,ENBR3,R$,"18,15",R$,"19,00",-,-,COMPRA,4,4,8,"4,7",
Light ,LIGT3,R$,"17,20",R$,"11,00",-,-,VENDA,1,1,2,"-36,0",
Neoenergia ,NEOE3,R$,"19,68",R$,"18,00",-,-,NEUTRO,4,3,7,"-8,5",
AES Tietê ,TIET11,R$,"16,21",R$,"15,00",-,-,NEUTRO,4,3,7,"-7,5",
ISA CTEEP ,TRPL4,R$,"21,40",R$,"22,00",-,-,NEUTRO,5,4,9,"2,8",
B3 ,B3SA3,R$,"56,50",R$,"60,00",R$,"57,00",COMPRA,2,4,6,"6,2", >> 
Cielo ,CIEL3,R$,"4,80",R$,"8,00",R$,"7,00",COMPRA,2,3,5,"66,7",
Embraer ,EMBR3,R$,"8,19",Sob,Revisão,-,-,NEUTRO,2,4,6,-,
Taurus ,TASA4,R$,"6,31",R$,"10,50",R$,"9,00",COMPRA,1,2,3,"66,4", >> 
Fras-Le ,FRAS3,R$,"5,55",R$,"7,50",R$,"6,50",COMPRA,3,3,6,"35,1",
MAHLE Metal Leve ,LEVE3,R$,"18,88",R$,"20,00",-,-,NEUTRO,3,4,7,"5,9",
Iochpe-Maxion ,MYPK3,R$,"13,99",R$,"22,00",R$,"19,00",COMPRA,3,3,6,"57,3",
Marcopolo ,POMO4,R$,"2,92",R$,"3,00",-,-,NEUTRO,3,3,6,"2,7",
Randon ,RAPT4,R$,"10,72",R$,"18,00",R$,"16,00",COMPRA,3,4,7,"67,9",
Indústrias Romi ,ROMI3,R$,"13,97",R$,"14,00",-,-,COMPRA,2,3,5,"0,2",
Priner ,PRNR3,R$,"10,09",R$,"25,00",R$,"17,00",COMPRA,3,3,6,"147,8",
Tupy ,TUPY3,R$,"19,28",R$,"27,00",R$,"24,00",COMPRA,4,3,7,"40,0",
WEG ,WEGE3,R$,"54,00",R$,"65,00",R$,"60,00",COMPRA,4,5,9,"20,4", >> 
Braskem ,BRKM5,R$,"23,51",R$,"36,00",-,-,NEUTRO,2,2,4,"53,1",
Unipar Carbocloro ,UNIP6,R$,"24,20",R$,"44,00",R$,"40,00",COMPRA,3,3,6,"81,8",
Santos Brasil ,STBP3,R$,"5,81",R$,"7,00",R$,"6,30",COMPRA,2,3,5,"20,5",
Unidas ,LCAM3,R$,"17,55",Sob,Revisão,-,-,COMPRA,3,3,6,-,
Movida ,MOVI3,R$,"14,35",Sob,Revisão,-,-,COMPRA,3,3,6,-,
Localiza ,RENT3,R$,"42,70",Sob,Revisão,-,-,COMPRA,3,4,7,-,
JSL ,JSLG3,R$,"26,70",R$,"26,00",-,-,COMPRA,3,3,6,"-2,6",
Log-In ,LOGN3,R$,"14,68",R$,"25,00",R$,"22,50",COMPRA,2,2,4,"70,3",
Rumo ,RAIL3,R$,"22,49",R$,"27,00",-,-,NEUTRO,3,2,5,"20,1",
Tegma ,TGMA3,R$,"24,66",R$,"27,00",-,-,NEUTRO,3,3,6,"9,5", >> 
Eucatex ,EUCA4,R$,"6,41",Sob,Revisão,-,-,NEUTRO,1,2,3,-,
Portobello ,PTBL3,R$,"4,35",R$,"5,00",R$,"4,50",COMPRA,3,3,6,"14,9",
Bradespar ,BRAP4,R$,"35,99",R$,"44,00",R$,"40,00",COMPRA,3,3,6,"22,3", >> 
CSN ,CSNA3,R$,"10,71",R$,"9,00",-,-,NEUTRO,2,3,5,"-16,0",
Ferbasa ,FESA4,R$,"18,53",R$,"20,00",-,-,NEUTRO,2,3,5,"7,9",
Gerdau ,GGBR4,R$,"15,71",R$,"18,00",R$,"16,00",COMPRA,2,3,5,"14,6",
Gerdau Metalurgica ,GOAU4,R$,"7,27",R$,"8,80",R$,"8,00",COMPRA,2,3,5,"21,0",
Usiminas ,USIM5,R$,"7,46",R$,"7,50",-,-,NEUTRO,2,3,5,"0,5",
Vale ,VALE3,R$,"55,26",R$,"67,00",R$,"61,00",COMPRA,3,3,6,"21,2", >> 
BR Distribuidora ,BRDT3,R$,"22,20",R$,"23,00",-,-,NEUTRO,2,3,5,"3,6",
Petrobras ,PETR3,R$,"22,50",R$,"28,50",R$,"25,50",COMPRA,3,3,6,"26,7",
Petrobras ,PETR4,R$,"21,98",R$,"26,00",R$,"23,50",COMPRA,3,3,6,"18,3",
PetroRio ,PRIO3,R$,"34,83",Sob,Revisão,-,-,COMPRA,2,3,5,-,
Enauta ,ENAT3,R$,"10,90",R$,"14,00",R$,"12,50",COMPRA,3,3,6,"28,4",
Ultrapar ,UGPA3,R$,"18,43",R$,"21,00",R$,"19,00",COMPRA,2,4,6,"13,9",
Klabin ,KLBN11,R$,"20,87",R$,"22,00",-,-,COMPRA,3,4,7,"5,4",
Suzano ,SUZB3,R$,"37,27",R$,"37,00",-,-,VENDA,3,4,7,"-0,7",
Smiles ,SMLS3,R$,"15,45",Sob,Revisão,-,-,NEUTRO,1,2,3,-,
Estapar ,ALPK3,R$,"9,60",R$,"17,00",R$,"15,00",COMPRA,2,3,5,"77,1", ## 
Log Commercial Properties ,LOGG3,R$,"33,49",R$,"32,00",-,-,COMPRA,3,5,8,"-4,4",
São Carlos ,SCAR3,R$,"37,55",Sob,Revisão,-,-,COMPRA,3,4,7,-,
IRB Brasil RE ,IRBR3,R$,"9,68",R$,"21,00",-,-,COMPRA,4,4,8,"116,9", <<  ## 
Copasa ,CSMG3,R$,"57,90",R$,"72,00",R$,"65,00",COMPRA,3,2,5,"24,4",
Sanepar ,SAPR11,R$,"31,40",R$,"43,00",R$,"39,00",COMPRA,4,3,7,"36,9",
Alliar ,AALR3,R$,"10,16",R$,"14,00",R$,"12,00",COMPRA,2,3,5,"37,8",
Grupo Biotoscana ,GBIO33,R$,"10,00",R$,"10,15",-,-,NEUTRO,2,2,4,"1,5",
Grupo NotreDame Intermédica ,GNDI3,R$,"65,80",R$,"89,00",R$,"83,00",COMPRA,4,5,9,"35,3",
Hapvida ,HAPV3,R$,"60,91",R$,"71,00",R$,"66,00",COMPRA,4,4,8,"16,6",
Hypera Pharma ,HYPE3,R$,"32,40",R$,"38,00",-,-,NEUTRO,3,4,7,"17,3",
OdontoPrev ,ODPV3,R$,"14,28",R$,"22,00",R$,"20,50",COMPRA,4,4,8,"54,1",
Hermes Pardini ,PARD3,R$,"22,50",R$,"22,00",-,-,NEUTRO,3,3,6,"-2,2",
Profarma ,PFRM3,R$,"5,45",R$,"7,00",R$,"6,00",COMPRA,2,2,4,"28,4",
RD ,RADL3,R$,"114,62",R$,"130,00",R$,"115,00",COMPRA,3,4,7,"13,4",
Porto Seguro ,PSSA3,R$,"52,55",R$,"69,00",-,-,NEUTRO,2,4,6,"31,3",
SulAmérica ,SULA11,R$,"48,50",R$,"61,00",-,-,NEUTRO,2,3,5,"25,8",
Aliansce Sonae ,ALSO3,R$,"28,76",R$,"40,00",R$,"38,00",COMPRA,3,4,7,"39,1", >> 
Iguatemi ,IGTA3,R$,"34,46",R$,"43,00",-,-,NEUTRO,4,4,8,"24,8", ## 
Multiplan ,MULT3,R$,"21,35",R$,"28,00",R$,"26,50",COMPRA,4,5,9,"31,1", << 
CSU CardSystem ,CARD3,R$,"13,14",R$,"11,60",-,-,VENDA,2,3,5,"-11,7",
Linx ,LINX3,R$,"25,48",Sob,Revisão,-,-,NEUTRO,3,4,7,-,
Locaweb ,LWSA3,R$,"48,26",R$,"62,00",-,-,COMPRA,4,4,8,"28,5", >> 
Positivo Tecnologia ,POSI3,R$,"5,71",Sob,Revisão,-,Sob,Revisão,2,2,4,-,
Sinqia ,SQIA3,R$,"23,36",R$,"36,00",R$,"34,00",COMPRA,3,4,7,"54,1",
TOTVS ,TOTS3,R$,"24,20",R$,"32,00",R$,"29,00",COMPRA,4,4,8,"32,2",
Valid ,VLID3,R$,"11,35",R$,"22,00",R$,"21,00",COMPRA,3,3,6,"93,8",
TIM ,TIMP3,R$,"15,25",R$,"17,00",R$,"16,00",COMPRA,3,3,6,"11,5",
Telefônica Brasil ,VIVT4,R$,"48,85",R$,"52,00",-,-,NEUTRO,3,4,7,"6,4",
Arezzo & Co ,ARZZ3,R$,"48,75",R$,"57,00",-,-,NEUTRO,3,4,7,"16,9",
B2W Digital ,BTOW3,R$,"108,86",R$,"120,00",R$,"112,00",COMPRA,4,4,8,"10,2",
Burger King Brasil ,BKBR3,R$,"11,16",R$,"16,00",-,-,NEUTRO,3,3,6,"43,4",
C&A ,CEAB3,R$,"9,93",R$,"15,00",-,-,NEUTRO,2,3,5,"51,1",
Centauro ,CNTO3,R$,"32,46",R$,"41,00",-,-,NEUTRO,3,3,6,"26,3",
Carrefour Brasil ,CRFB3,R$,"20,20",R$,"22,00",R$,"20,50",COMPRA,4,4,8,"8,9",
CVC ,CVCB3,R$,"19,71",R$,"22,00",-,-,NEUTRO,2,2,4,"11,6", >> 
Hering ,HGTX3,R$,"14,80",R$,"19,00",-,-,NEUTRO,2,3,5,"28,4",
Lojas Americanas ,LAME4,R$,"31,00",R$,"40,00",R$,"37,00",COMPRA,4,4,8,"29,0",
Lojas Renner ,LREN3,R$,"41,00",R$,"55,00",-,-,NEUTRO,3,4,7,"34,1",
Magazine Luiza ,MGLU3,R$,"72,00",R$,"80,00",R$,"74,00",COMPRA,3,4,7,"11,1",
Natura ,NTCO3,R$,"41,30",R$,"56,00",R$,"51,00",COMPRA,3,3,6,"35,6",
Vulcabras Azaleia ,VULC3,R$,"5,26",R$,"6,30",-,-,NEUTRO,2,2,4,"19,8",
Vivara ,VIVA3,R$,"20,85",R$,"26,00",-,-,NEUTRO,4,3,7,"24,7",
Via Varejo ,VVAR3,R$,"15,55",R$,"20,00",R$,"18,50",COMPRA,2,3,5,"28,6",
